what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474311052725
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474311056129
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474311382990
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1474311385998
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1474311396226
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474311432438
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474311439104
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1474311478598
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1474311481456
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474311482209
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474311487352
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474311499679
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474311504210
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1474311534147
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474311535623
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474311559335
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474311562539
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474311563548
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474311604327
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474311606445
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1474311607986
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474311623957
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474311625947
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1474311626996
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474311627477
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474311670241
